식당명,카테고리,평점,리뷰수,지역,전화번호,저녁가격,위도,경도,고유ID
코자차 kojacha,퓨전음식,4.7,402,청담,01090237771,저녁 22.5만원,37.5208702,127.055224,qZ8yy4ekxYAfP4c0G5Lb6A
까델루뽀,이탈리아음식,4.6,37,서촌,050712835475,,37.5818165,126.9714259,g-_4wFDMsy9eShiodQlpiA
봉래헌,한정식,4.6,234,김포공항,050700915764,저녁 11-30만원,37.5471992,126.8191229,2TlwSB8gSDMaheve7-vd0w
고료리 켄,코스요리,4.8,144,도산공원,050712836133,저녁 25만원,37.5230081,127.0348057,nu5CgGPvtvTj7GWIBYcbiA
멘야미코 청담역점,일식,5.0,1,청담,050702694326,,37.5174072,127.0513431,j7sDTRCFfnJ2X1kioUzl0w
무탄 여의도점,중식,4.4,604,여의도,050700917900,,37.5215212,126.9228725,g7dCHMqZxzp_qI-o8hdO3A
파티나(patina),파스타,4.7,1249,북촌,01042192935,,37.5778205,126.9883592,yAFX5nAFkbajh0CsaB6qVA
한국횟집,"회,사시미",4.6,231,중화,050700917691,,37.5970746,127.0762336,BKUdCdyn9rFGfc1olHG1wg
남도돼지촌,"육류,고기요리",4.5,284,삼각지,050720886508,,37.531538,126.9723985,8_7LCB4X18DSNCOotFdIXw
은진포차,해물(탕/찜/볶음),3.7,58,영등포,050702690119,,37.5127903,126.8937019,eIyAg2vXXAqEdvyuCGsJAw
지강한식당 압구정본점,한식,4.3,74,압구정,050712835837,,37.5263219,127.0295456,UD4iEd30LTEDkb7Kg8Gpbw
진주섬,"회,사시미",4.4,42,여의도,050700913848,,37.5188979,126.9319433,vcD-u_y9sAVY0JwFN9F4PA
보보식당 광화문점,중식,4.3,225,광화문,050718568589,,37.5721535,126.9778819,EkKP-fGeu44np0D4mtiGQg
옥돌현옥,냉면,4.5,108,가락,050702694356,,37.5015212,127.1240817,47Yb5alpxiV2yxDWltzjXg
오코메,일식,4.4,99,부산 광안리,050714862151,,35.1483154,129.1137813,vQTKrndcx-5DrJnPcCgn5Q
미가키,가이세키오마카세,4.9,331,청담,01057413600,저녁 31만원,37.5251906,127.0409524,sN4p1cUVaBPBQebrTBlmDg
을지깐깐 원그로브점,아시아음식,3.7,128,마곡,0000,,37.5609223,126.8246494,MDxVlrKoA4LSsZ2B-AsuXA
모노로그,가이세키오마카세,4.8,545,청담,01042287226,저녁 35만원,37.5233218,127.0441055,OtHeF82u5ueYGL9ojnxJQA
래빗홀버거 성수,햄버거,5.0,8,성수,024640424,,37.5461358,127.0472014,wRDg9jIHQZ9-zXPukepgeQ
주마등,요리주점,3.9,167,을지로,050702691164,,37.5653486,126.9914005,_816RaF38ojYwtbm2gGTTQ
보타르가 비노,이탈리아음식,4.9,171,청담,01046491826,,37.5223586,127.0443156,tMyRIUwbP7Zmk2LBmLd0MA
더 이탈리안 클럽 현대 무역센터점,이탈리아음식,4.5,116,삼성,050700913402,,37.5086329,127.0598879,_BnEVY8ArzKSNlrc9Y6wpQ
깐깐 스타필드에비뉴그랑서울점,베트남음식,2.0,3,광화문,000000000111,,37.57096,126.9814392,WTW_HKSvFq4gah904mK7yQ
랑빠스81,프랑스음식,4.6,54,연남,050700915900,,37.5602685,126.9251662,ElnvFlymOTTxR-mTIBBwCQ
죠죠 판교아브뉴프랑점,일식,4.8,4,판교,03180396444,,37.3973208,127.1135623,kgSgTQT4zLVMnPDayKFKrQ
대동옥 을지로 본점,한식,4.4,232,을지로,01071641241,,37.565968,126.9910616,jRDw5Rwz5tk9_TACpr44Ag
동경밥상 제주점,한식,4.6,374,제주 제주시,050700912749,,33.4853785,126.4080326,sqvMXyY2y2FLv1RG4_GSmA
여의주 훠궈관,중식,4.7,161,을지로,01041898210,,37.5657466,126.9910635,1Car4U20bTv84TLlXiAGtw
어물전 청 한남점,한식,4.6,1248,한남,050700913121,점심 저녁 동일가 8.9만원,37.5377494,127.0049992,dN2HdyoZHiFKpTWY6IpV2A
힙한식,한식,4.6,299,남해,050720886540,,34.7286468,128.0315392,eaIsDM4OUx3QUVzLimDlOA
만가타,유러피안음식,4.8,880,삼청,050700917851,"점심, 저녁 동일가 7.7만원",37.58019,126.9809915,O5XWnBlWMY7T0mLB-Sjl2g
무탄 광화문점,중식,4.5,1017,광화문,050718569284,,37.5696647,126.9721401,IN_KONj-bgu6J1oE-3IYSg
더이탈리안 클럽 판교 테크원점,이탈리아음식,4.5,1255,판교,050700918864,,37.3954648,127.1121136,UA5xpg9DRjWUk-UYrM_ODg
소바쥬,일식,4.9,653,마포,050700912753,저녁 8만원,37.5412649,126.9462973,TgdqdvK4tx1ipytPfrFEKA
무탄 코엑스점,중식,4.3,1420,코엑스,050700913033,,37.5116621,127.0594275,HtUf0-hdkmaRUhCHBeEF1g
죠죠 용산점,일식,4.6,1723,신용산,01033788757,,37.531607,126.9698617,MAWhHEPudR1srxYxUA0gNQ
동보성 본점,중식,5.0,1,선릉,050700915025,,37.5043884,127.0499893,OL4rZAbv8LoVsmEFErFNSA
서울다이닝,코스요리,4.7,1447,장충동,050712835250,저녁 15만원,37.5592753,127.0036307,nUwMQiFcxAw0YWNVrWsFiw
아이스크림 소사이어티,"카페,디저트",4.4,7,반포,01090837345,,37.5039351,127.002413,mDBB_QNrzIz9wb9av6NfZg
래빗홀버거 건대,햄버거,4.0,1,화양,050718569949,,37.5460451,127.0765434,yrGaTrFNSNBE2v_Se5Hj3A
칸세이 Kansei,컨템포러리,4.8,209,가락,07082110231,,37.4965052,127.1211315,LrA2xKcwUzzgxe8GtMQr4g
크라운돼지 제주점,"육류,고기요리",3.7,26,제주 제주시,050720889295,,33.3931794,126.383177,AVSpZHD1iRqBG11vc_9_Vw
히카리모노,일식,4.4,276,광화문,01099257226,,37.57096,126.9814392,l9AG8mKwguGd7hP0FWJK_Q
헤키,일식,4.8,3563,망원,07077739870,,37.5552383,126.9097924,rCZ0zUIX8MFNuFJkxfVJPg
스시사카바 갓포아키,이자카야,4.5,484,제주 제주시,050712835653,,33.4852308,126.4885717,ciMTJDNYxR1G3r7_LN7vtQ
홍박사 생고기 강남점,"육류,고기요리",4.6,319,논현,050712837005,,37.5190503,127.0279875,zvtLMSoLvYB1n6jkpXygvw
어물전 청 잠실점,한식,4.5,2440,잠실,050700916639,"주말 점심, 저녁 동일가 8.9만원",37.513871,127.1063644,FlNPILOOQXh-ytn9mqPLyg
죠죠 대학로점,일식,4.5,30,혜화,01083198684,,37.5828674,127.0001562,-xYbyEWX1F1fYWMwFQ_6Xw
죠죠 트리플스트리트점,일식,4.2,131,송도,050720882890,,37.3797884,126.6609571,ybg1vUY0sxkgqjOcZhAErw
갓포아키 삼성점,이자카야,4.7,2104,삼성,0262038660,,37.5088359,127.064558,UPSUKUfZTufZkM5KkgdA4g
무스,,0.0,0,마포,01099057325,,37.5458,126.9412426,ugYfFGAuStwWM3JGNYr7sw
더이탈리안 클럽,이탈리아음식,4.4,2528,잠실,01034562928,,37.513871,127.1063644,9Ch2kAPlXkYG2oMd7g2pHw
신안가옥,"육류,고기요리",4.6,166,논현,0262470101,,37.5188147,127.0277795,X-pOZZYdTC_tM2Tgt5CXww
키이로,일식,4.8,2127,가로수길,01053546912,,37.5196035,127.0190762,x5znKYoSpLq9uGvmpj02aw
죠죠 성수점,일식,4.6,1876,성수,050713288757,,37.5414821,127.0609786,OW0KX2t72YQadIcwKuTPIQ
어물전 팔도,한식,4.5,130,한남,01099157253,저녁 10만원,37.5377494,127.0049992,15eqbIQ3jXklsdTA5Z6oGw
이태원 실비디스코,요리주점,4.1,187,이태원,07086912298,,37.5339504,126.9957801,el_DoZ_kv30-ucnREPLHwA
을지깐깐,베트남음식,4.3,144,을지로,01054216788,,37.5657466,126.9910635,0_TFVXAl0wimoiqSj8ESiw
몽도 (Mòndo) ,이탈리아음식,4.8,637,신사,07088078000,저녁 2~7만원,37.5135999,127.0163095,DEfepjqMv_56SjUGSoj9wQ
쌤쌤쌤 광화문,양식,4.3,256,광화문,050714268222,,37.5710184,126.9789694,fZPRdJYLIrW-HcujZdNEXQ
최강달인 김혜규의 뼈대있는 짬뽕,중식,0.0,0,대구 서구,0535218889,,35.8648211,128.5608385,uJ-rqF8C5r32lb-53ekCEg
무탄 파주 스타필드점,중식,4.2,224,파주,03180357470,,37.7290593,126.7647414,HhULzKgX6cYWRPEE_ABZFQ
무탄 압구정 본점,중식,4.5,422,압구정,050712835361,,37.5273088,127.0303297,B9I0rwEhaOx6VstNzW5_AA
숯. 더 붓처스 엣지,다이닝바,4.4,169,여의도,050712837487,저녁 19.8만원,37.5255723,126.9266142,WAbh3jo5Ohk8q1zq_7EZ7Q
온하루 사랑방: 호빵과 가배,카페 & 베이커리,4.8,12,서촌,050702691231,2024.11.15 ~ 2024.11.16,37.5805153,126.9734049,1HYGmYeEs13UKDYVJQDZaA
지강한식당 잠실점,한식,4.3,89,잠실,050712835772,,37.513871,127.1063644,Jw9SPPha8l_4Iozg6YDphg
온6.5,다이닝바,4.5,1509,안국,050700919464,,37.5773758,126.9842814,47jHT01fp_nCI0cT-mo03Q
쌤쌤쌤 롯데월드몰,이탈리아음식,4.0,47,잠실,050702691073,,37.5125702,127.1025625,rxf5-Xu0ISkC96KlQxJ6nQ
페리지 (PERIGEE),이탈리아음식,4.8,1825,삼성,050702691682,저녁 18만원,37.5112514,127.049499,zHjkN5ZDFnWI3t1llNAFqQ
보보식당,중식,4.5,2876,압구정,050700919476,"점심, 저녁 동일가 1-19만원",37.5278619,127.0363122,yd_i8XIlFJAZvFphm7eqYg
중식당 청 한남점,중식,4.4,190,한남,050700917734,저녁 1 - 12만원,37.5353773,127.0100584,TmcLOhOhpWswkRgioxBM5Q
바 라핀부쉬,다이닝바,4.6,197,이태원,050702692963,,37.5339879,126.9959424,TyrfNC083neKmJsTFeRtTw
호시우보 여의도본점(TP타워),소고기구이,4.6,397,여의도,050702693903,,37.5215212,126.9228725,YItOsLu79zi_ricJStq8Xg
라오삐약 신용산점,아시아음식,0.0,0,용리단길,050702691844,,37.5310833,126.9710259,QuOZsGNicVkVQ-_shYZiqQ
뽀모,이탈리아음식,4.8,127,대치,050714664024,,37.4995951,127.0516542,o4E71-truy03LSrUxSCzHA
라오삐약,아시아음식,5.0,18,망원,050702691858,,37.552737,126.9044441,AJABslvG8AcZSYW9eWQqxg
멘쇼쿠,라멘,0.0,0,신사,01055457226,,37.5154134,127.0188518,qhCMoUluotsaz5d20IPKYg
동남방앗간 한남,이탈리아음식,4.6,451,한남,050700916108,,37.5337671,127.0098359,kDGDZdffFIO-NhWwwcS-fQ
비스트로 앤트로,컨템포러리,4.6,873,압구정,050700916154,,37.5231333,127.0271657,U6-uL_L8_eQi8mIwhEBw_w
포그,피자,0.0,0,마포,0000,,37.5464913,126.9429879,32yIVkTLDMd0ritm1KBf8Q
당옥,카페 & 베이커리,0.0,0,가로수길,050713791276,,37.5201006,127.0204676,NI4Q0lsywMcx_ZLQeYYGqQ
양출서울,와인,4.8,278,논현,050712839174,저녁 5.5-7.5만원,37.5166188,127.0324593,0Xlx3ig_ENtDIltN67m7Jg
불래,컨템포러리,4.7,429,한남,050700919690,,37.5346197,127.0088244,RCe-bF5Qk8-1dK7hU_Ug5A
차이나룸 몬드리안 호텔,중식,4.6,670,이태원,050700916209,,37.5285648,126.9931163,18kG8eLryMk3nbF8SisptQ
테디뵈르하우스,"카페,디저트",4.4,34,삼각지,050713798667,,37.5316045,126.9725361,lkWRL3fHjgnDg-Ox1KJ2vQ
레스토랑 온 ON,프랑스음식,4.9,388,청담,050712835608,,37.5219933,127.0494134,jXozZSpto6RADElB4WH1OQ
호루몬,코스요리,4.7,441,도산공원,050700913587,,37.5230206,127.0344719,M201Ig6UxXOIArecv9WCzA
타카 스키야키&우나기,일식,4.7,2365,이태원,050712835058,저녁 15만원,37.5285648,126.9931163,GANCwzahF1wJOWg_CGcHxA
외포리 숯불장어,장어 요리,5.0,2,인천,050702692833,,37.7044339,126.3684103,lnEjdm2e3_3sQ9R8SsSyyw
수인 인사동 닭한마리,"닭,오리요리",4.5,100,인사동,050712834649,,37.5747933,126.9861953,6DAHJ3DhIkvjf30yGrk68A
