가게명,셰프닉네임,주요판매요리,지역,상세주소,리뷰수,리뷰평점,예약진행여부,평균가격대,셰프명,특징,좌표정보
온6.5,김치다이닝,한식,,,,,예약가능,,,김치 다이닝 전문,
셰누프라이빗키친,안녕 봉주르,프랑스음식,이태원/경리단길,,,,,,,고효일,이태원 프렌치 베이스 다이닝,
트리드,쓰리스타 킬러,파인다이닝,,,,,,,강승원,미슐랭 3스타 경력,
미코/당옥,요리과학자,분자요리/라멘,,,,,,,신동민,분자요리 및 요리과학 대가,
옥동식,뉴욕에 간 돼지곰탕,한식,합정동,,,,,,,옥동식,뉴욕 미슐랭 빕구르망/돼지곰탕 명가,
레스토랑온,영블러드,컨템포러리,,,,,,,김준형,젊고 감각적인 컨템퍼러리 퀴진,
Kisa,뉴욕 기사식당,한식퓨전,뉴욕,,,,,,,이영주,뉴욕 스타일 한식 퓨전,
보타르가비노,메이드 인 코리아,이탈리아음식,,,,,,,손영철,한국 식재료 서양식,
서울다이닝,8국마스터,국제요리,,,,,,,김진래,8개국 요리 스타일 섭렵,
만가타,어나더 미트볼,육류요리,,,,,,,김도형,독창적 육류 가공 기술,
몽도,후레쉬 치즈맨,치즈요리,,,,,,,김석현,수제 치즈와 신선한 식재료,
페리지,쓰리스타킬러,이탈리아음식,강남,,,,,,안진호,생면 파스타 컨템포러리,
솔밤,아기맹수,모던한식,강남,,,,,,김시현,미슐랭 가이드 소개,
수퍼판,서울엄마,한식,신사동,,,,,,우정욱,한식 베이스 캐주얼 다이닝,
테이블포포,,서양요리,,,,,,,김성운,백수저 셰프,
소울,,,서양요리,용산,,,,,,,김희은,백수저 셰프,
에그앤플라워,,,서양요리,용산,,,,,,,김희은,백수저 셰프,
이타닉 가든,,한식,,,,,,,손종원,한식 재해석,
가야성,,,한식,강남,,,,,,,한식 레스토랑,
창,,,한식,잠실,,,,,,,창 셰프 운영,
시그니처 도산,,,중식,도산,,,,,,성근,프리미엄 중식당,
오복당,,한식/캐주얼,강남,,,,,,,백수저 출연,
촨촨지우바,빙그레,중식,,,,,,,,,중식 전문점,
엄마밥상,,한식,,,,,,,,,백반 전문,
소셜 다이닝 피델리오,방구석 다이닝,소셜다이닝,,,,,,,,,소셜 다이닝,
아오이토리,제빵 요리사,디저트/카페,,,,,,,,,디저트 카페,
촌놈네,,,한식,,,,,,,,,한식 가정식,
Triple bones,공사판 셰프,바베큐,,,,,,,미슐랭 2스타 출신,,바베큐 전문,
야키니쿠 세이지,일식 타짜,일식/야키니쿠,,,,,,,,,일본식 고기구이,
심야식당 세이지,일식 타짜,일식,,,,,,,,,심야식당 콘셉트,
윰드,멜버른 베스트,브런치,청담,,,,,,,청담 브런치 명소,
다이닝바 이도,헬스키친,다이닝바,용산,,,,,,,다이닝바,
스낵바 에이넷,돌아온 소년,스낵바,,,,,,,,,스낵바 aaaa,
팔발라,돌아온 소년,이탈리아음식,,,,,,,,,이탈리아 레스토랑,
와일드 플라워,쿠킹텔러,레스토랑,방배,,,,,,,방배 레스토랑,
블그레 신사,봉주부,프랑스음식,신사,,,,,,,2017 세계 영셰프 컴퍼티션 한국대표,
라운지 by 블그레,봉주부,프랑스음식,가로수길,,,,,,,라운지형 다이닝,
July,국내파스타,이탈리아음식,서래마을,,,,,,,파스타 전문점,
제이드앤워터,후포리 촌놈,레스토랑,옥수,,,,,,,옥수 레스토랑,
로기 한남,시크릿 코스,프랑스음식,한남,,,,,,,프렌치 레스토랑,
스큐어 한남,시크릿 코스,스테이크,한남,,,,,,,스테이크하우스,
사브 서울,프렌치돌,프랑스음식,압구정,,,,,,,프렌치 파인다이닝,
미트컬쳐,청와대 셰프,육류,,,,,,,,,고급 육류 전문점,
야키토리 혼바,통닭맨,일식/야키토리,서울역,,,,,,,야키토리 전문,
야키토리 코치,통닭맨,일식/야키토리,영등포,,,,,,,야키토리,
코치 성수,통닭맨,일식/야키토리,성수,,,,,,,야키토리 성수점,
아타리 성수,통닭맨,일식,성수,,,,,,,성수 일식당,
엘몰리노,,멕시칸,,,,,,,코리안 타코킹,,
에스콘디도,,멕시칸,,,,,,,코리안 타코
